Meat,Kilojoules,Calories,Protein %,Saturated fat %,Total fat %
Raw **turkey** breast w/o skin,420,100,22.4,0.36,1.06
Raw **chicken** breast w/o skin,458,109,22.3,0.58,2.13
Raw **turkey** breast w skin &amp; fat,508,121,21.4,1.33,3.89
Raw **chicken** breast w skin &amp; fat,714,171,19.8,3.07,10.2
Raw **turkey** light meat,457,109,21.7,0.83,2.38
Raw **chicken** light meat,568,136,21.3,1.68,5.57
Raw **turkey** dark meat,577,138,17.8,2.58,7.41
Raw **chicken** dark meat,705,168,17.5,3.3,11
Raw **turkey** drum w skin &amp; fat,438,105,20.3,0.85,2.5
Raw **chicken** drum w skin &amp; fat,699,167,17.4,3.15,10.9
