name,address.street1,address.street2,address.city,address.postCode,address.region,phone,geoData.ok,geoData.source,geoData.confidence,geoData.latitude,geoData.longitude
Akaroa Butchery,67 Rue Layand,Akaroa,Christchurch,7520,Canterbury,03 3047038,1,bing,High,-43.53100967,172.6377869
Ashburton Trading Society,97 Burnett Street,,Ashburton,7700,Canterbury,03 3075100,1,bing,High,-43.90309,171.74631
Banfields Of Beckenham,134 Colombo Street,Beckenham,Christchurch,8023,Canterbury,03 3326148,1,bing,High,-43.5576999,172.6371
Bellintinos,9 Napier Rd,,Havelock North,4130,Hawkes Bay,03 8758103,1,bing,High,-39.66939,176.87767
Bethleham Butchery,SH2 Bethleham,,Tauranga,3110,Bay Of Plenty,07 5764729,1,bing,High,-37.69468,176.11825
Boric Food Market,1404 CoatesVille - Riverhead Hwy,,Auckland,892,Auckland,09 4128310,1,bing,High,-36.787,174.58302
Burgers Butchery,305 Church Street,,Timaru,7910,Canterbury,03 6889338,1,bing,High,-44.39582,171.22962
Chefs Choice,Basta Hill,106c Ikitara Rd,Wanganui,4500,Manawatu,06 3433361,1,bing,High,-39.9227,175.06803
Cherrywood Butchery,58 Cherrywood Drive,Otumoetai,Tauranga,3110,Bay Of Plenty,07 5767338,1,bing,High,-37.66821,176.14153
Churchills Fine Meats And Deli,79 Keri Keri Rd,Keri Keri,,230,Northland,09 4078924,1,bing,High,-35.22734,173.9491899
Clarks Butchery,356 West Coast Rd,Glen Eden,Auckland,602,Auckland,09 8186526,1,bing,High,-36.9086924,174.6411256
Cole's Butchery And Deli,237 Maunganui Rd,Mt Maunganui,Tauranga,3116,Bay Of Plenty,07 5753100,1,bing,High,-37.64047,176.18471
Compleat Wellness,24 Windsor Street,,Invercargill,9810,Southland,03 2179010,1,bing,High,-46.397,168.36542
Darfield Four Square,76 South Terrace,,Darfield,7510,Canterbury,03 3188703,1,bing,Medium,-43.48979,172.11196
Doug Jarvis Butchery,7 Gravatt Rd Papamoa Plaza,Papamoa,Tauranga,3003,Bay Of Plenty,07 5720090,1,bing,High,-37.70058,176.28379
Drury Meats,232a Great South Rd,Drury,Auckland,2113,Auckland,09 2948546,1,bing,High,-37.10315,174.95204
